Lemma,Number,Case,Form,Current Status,Proposed Status,Action
огнь,Singular,Dative,о҅гню,,analogical,SET
чрьвь,Singular,Dative,чрьви,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Instrumental,пѫть҆мь,,etymological,SET
господь,Singular,Dative,господоу,,analogical,SET
звѣрь,Plural,Genitive,ꙁвѣрии҆,,etymological,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ъ,,,UNMATCHED
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Dative,го꙯у,,analogical,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
господь,Singular,Genitive,га꙯,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
людиѥ,Plural,Genitive,людии,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Vocative,Ги꙯,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Dative,о҅гн҄оу,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
звѣрь,Plural,Instrumental,ꙁвѣрьми,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
звѣрь,Plural,Dative,ꙁвѣремъ,,,UNMATCHED
господь,Singular,Dative,господоу,,analogical,SET
хоть,Singular,Instrumental,хотиѭ,,,UNMATCHED
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
звѣрь,Plural,Genitive,ꙁвѣрии҆,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
звѣрь,Plural,Genitive,ꙁвѣрии҆,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ҆,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
звѣрь,Plural,Instrumental,ꙁвѣрь҆ми,,etymological,SET
звѣрь,Plural,Instrumental,ꙁвѣрь҆ми,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Dative,ꙁвѣремъ,,,UNMATCHED
звѣрь,Plural,Nominative,ꙁвѣриѥ҆,,etymological,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Vocative,ги꙯,,etymological,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Instrumental,господьмь҆,,etymological,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Instrumental,пѫть҆мъ,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Instrumental,пѫтьмь,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господꙿ,,,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Nominative,господь҆,,ambiguous,SET
пѫть,Singular,Instrumental,пѫтьмь҆,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
людиѥ,Plural,Instrumental,людь҆ми,,etymological,SET
людиѥ,Plural,Dative,людемь,,,UNMATCHED
людиѥ,Plural,Instrumental,людьми,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Locative,господі,,,UNMATCHED
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
людиѥ,Plural,Dative,людемъ,,,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Nominative,огн҄ь,,ambiguous,SET
господь,Singular,Accusative,господꙿ,,,UNMATCHED
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ҅,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Genitive,ꙁвѣрии,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
огнь,Singular,Instrumental,огн҄емъ,,,UNMATCHED
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Vocative,господи,,etymological,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,годподі,,,UNMATCHED
господь,Singular,Nominative,господь҆,,ambiguous,SET
зѧть,Singular,Accusative,ꙁꙙть,,ambiguous,SET
дѣтищь,Singular,Nominative,дѣтишть҆,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
чрьвь,Plural,Nominative,чръвьѥ,,etymological,SET
господь,Singular,Vocative,г͞и,,etymological,SET
дѣтищь,Singular,Dative,дѣтиштоу,,analogical,SET
дѣтищь,Singular,Dative,дѣтиштꙋ,,analogical,SET
дѣтищь,Singular,Nominative,дѣтиштъ,,,UNMATCHED
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
людиѥ,Plural,Dative,людемъ,,,UNMATCHED
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Dative,господоу,,analogical,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
огнь,Singular,Genitive,о҅гнѣ,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
огнь,Singular,Dative,о҅гнꙋ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
гость,Plural,Dative,гостемъ,,,UNMATCHED
господь,Singular,Nominative,господь,,ambiguous,SET
огнь,Singular,Instrumental,огн҄емъ,,,UNMATCHED
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
людиѥ,Plural,Genitive,людии҆,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Instrumental,пѫтемъ,,,UNMATCHED
пѫть,Singular,Instrumental,пѫтьмъ,,etymological,SET
господь,Singular,Nominative,господь,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Plural,Nominative,пѫтиѥ,,etymological,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
господь,Singular,Vocative,ги,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
дѣтищь,Singular,Dative,дѣтиштꙋ,,analogical,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
дѣтищь,Singular,Nominative,дѣтишть҆,,ambiguous,SET
дѣтищь,Singular,Accusative,дѣтишть҆,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
огнь,Plural,Accusative,о҅гн҄и,,etymological,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Genitive,господи,,etymological,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Dative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
людиѥ,Plural,Locative,людехъ,,etymological,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
людиѥ,Plural,Dative,людемь҆,,,UNMATCHED
пѫть,Singular,Accusative,пѫть,,ambiguous,SET
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,господи,,etymological,SET
гостиньць,Plural,Nominative,гостинь҆ци,,analogical,SET
пѫть,Plural,Nominative,пѫтиѥ,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господи,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
людиѥ,Plural,Genitive,людии,,etymological,SET
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
зѧть,Singular,Genitive,ꙁꙙти,,etymological,SET
людиѥ,Plural,Nominative,людиѥ҆,,etymological,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
людиѥ,Plural,Nominative,людиѥ҅,,etymological,SET
господь,Singular,Nominative,господꙿ,,,UNMATCHED
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
людиѥ,Plural,Genitive,людии,,etymological,SET
людиѥ,Plural,Dative,людь҆мъ,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
грътань,Singular,Accusative,грьтань҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
грътань,Singular,Locative,грътани,,ambiguous,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Accusative,господь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
звѣрь,Plural,Accusative,ꙁвѣри,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
зѧть,Singular,Dative,ꙁꙙти,,etymological,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Dative,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
пѫть,Singular,Instrumental,пѫтемь҆,,,UNMATCHED
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
пѫть,Plural,Accusative,пѫти,,etymological,SET
дѣтищь,Singular,Genitive,дѣтишта,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Nominative,г꙯ъ,,,UNMATCHED
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
чрьвь,Singular,Nominative,чръвь҆,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
тать,Singular,Genitive,тати,,etymological,SET
огнь,Singular,Instrumental,о҅гн҄ьмъ,,etymological,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
грътань,Singular,Accusative,грьтань҆,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
людиѥ,Plural,Genitive,людии҆,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
людиѥ,Plural,Dative,людемъ,,,UNMATCHED
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
людиѥ,Plural,Nominative,людиѥ҆,,etymological,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
людиѥ,Plural,Nominative,людиѥ,,etymological,SET
людиѥ,Plural,Genitive,людии҆,,etymological,SET
гръличищь,Dual,Accusative,гръличишта,,analogical,SET
гръличищь,Dual,Accusative,гръличишта,,analogical,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
голѫбь,Singular,Instrumental,голѫбемъ,,,UNMATCHED
